Name,Top Shelf,Unlock 3,Unlock 6,Unlock 8,Middle Shelf
8-Bit 1-Up Mushroom,,,,Piranha Plant Slide R,
8-Bit 1-Up Mushroom,,,Ghost Valley 1R/T,,
8-Bit 1-Up Mushroom,,,Sky Garden,,
8-Bit 1-Up Mushroom,,Choco Island 2,,,
8-Bit 1-Up Mushroom,,RMX Rainbow Road 1R,,,
8-Bit 1-Up Mushroom,Athens Dash,,,,
8-Bit 1-Up Mushroom,Battle Course 1,,,,
8-Bit 1-Up Mushroom,Berlin Byways R,,,,
8-Bit 1-Up Mushroom,Bowser's Castle 3,,,,
8-Bit 1-Up Mushroom,Bowser's Castle 3R,,,,
8-Bit 1-Up Mushroom,Bowser's Castle 4,,,,
8-Bit 1-Up Mushroom,Cheep Cheep Lagoon,,,,
8-Bit 1-Up Mushroom,Choco Island 1R/T,,,,
8-Bit 1-Up Mushroom,Choco Island 2R,,,,
8-Bit 1-Up Mushroom,Daisy Cruiser R,,,,
8-Bit 1-Up Mushroom,Donut Plains 2,,,,
8-Bit 1-Up Mushroom,Donut Plains 3T,,,,
8-Bit 1-Up Mushroom,Dry Dry Ruins,,,,
8-Bit 1-Up Mushroom,DS Mario Circuit,,,,
8-Bit 1-Up Mushroom,Ghost Valley 2T,,,,
8-Bit 1-Up Mushroom,Koopa Cape R/T,,,,
8-Bit 1-Up Mushroom,London Loop T,,,,
8-Bit 1-Up Mushroom,Madrid Drive 3R/T,,,,
8-Bit 1-Up Mushroom,Madrid Drive T,,,,
8-Bit 1-Up Mushroom,Mario Circuit 2R/T,,,,
8-Bit 1-Up Mushroom,Merry Mountain R/T,,,,
8-Bit 1-Up Mushroom,Moonview Highway R/T,,,,
8-Bit 1-Up Mushroom,New York Minute 3R/T,,,,
8-Bit 1-Up Mushroom,New York Minute T,,,,
8-Bit 1-Up Mushroom,Peach Circuit R/T,,,,
8-Bit 1-Up Mushroom,Peach Gardens,,,,
8-Bit 1-Up Mushroom,Peach Gardens R,,,,
8-Bit 1-Up Mushroom,Piranha Plant Cove,,,,
8-Bit 1-Up Mushroom,Piranha Plant Pipeline R/T,,,,
8-Bit 1-Up Mushroom,Piranha Plant Slide,,,,
8-Bit 1-Up Mushroom,Riverside Park T,,,,
8-Bit 1-Up Mushroom,RMX Donut Plains 1,,,,
8-Bit 1-Up Mushroom,Shroom Ridge R,,,,
8-Bit 1-Up Mushroom,Singapore Speedway 3R/T,,,,
8-Bit 1-Up Mushroom,Sky Garden R,,,,
8-Bit 1-Up Mushroom,Sky-High Sundae,,,,
8-Bit 1-Up Mushroom,SNES Rainbow Road R/T,,,,
8-Bit 1-Up Mushroom,Squeaky Clean Sprint T,,,,
8-Bit 1-Up Mushroom,Sydney Sprint 2,,,,
8-Bit 1-Up Mushroom,Sydney Sprint 3,,,,
8-Bit 1-Up Mushroom,Tokyo Blur 3R/T,,,,
8-Bit 1-Up Mushroom,Vancouver Velocity 3R,,,,
8-Bit 1-Up Mushroom,Vanilla Lake 1,,,,
8-Bit 1-Up Mushroom,Yoshi's Island R/T,,,,
8-Bit 1-Up Mushroom,,,,,Athens Dash R/T
8-Bit 1-Up Mushroom,,,,,Baby Park R/T
8-Bit 1-Up Mushroom,,,,,Berlin Byways
8-Bit 1-Up Mushroom,,,,,Bowser Castle 3R
8-Bit 1-Up Mushroom,,,,,Cheep Cheep Lagoon R
8-Bit 1-Up Mushroom,,,,,Choco Island 2
8-Bit 1-Up Mushroom,,,,,Choco Island 2R/T
8-Bit 1-Up Mushroom,,,,,Choco Island 2T
8-Bit 1-Up Mushroom,,,,,Daisy Cruiser
8-Bit 1-Up Mushroom,,,,,Donut Plains 2R
8-Bit 1-Up Mushroom,,,,,Donut Plains 3
8-Bit 1-Up Mushroom,,,,,Dry Dry Ruins R
8-Bit 1-Up Mushroom,,,,,Dry Dry Ruins T
8-Bit 1-Up Mushroom,,,,,DS Mario Circuit T
8-Bit 1-Up Mushroom,,,,,Ghost Valley 1R/T
8-Bit 1-Up Mushroom,,,,,Ghost Valley 1T
8-Bit 1-Up Mushroom,,,,,Ghost Valley 2
8-Bit 1-Up Mushroom,,,,,London Loop 2
8-Bit 1-Up Mushroom,,,,,Luigi Circuit
8-Bit 1-Up Mushroom,,,,,Madrid Drive 3T
8-Bit 1-Up Mushroom,,,,,Merry Mountain T
8-Bit 1-Up Mushroom,,,,,Mushroom Gorge R/T
8-Bit 1-Up Mushroom,,,,,New York Minute 2
8-Bit 1-Up Mushroom,,,,,New York Minute 4T
8-Bit 1-Up Mushroom,,,,,New York Minute R/T
8-Bit 1-Up Mushroom,,,,,Peach Gardens T
8-Bit 1-Up Mushroom,,,,,Piranha Plant Cove R
8-Bit 1-Up Mushroom,,,,,Piranha Plant Pipeline R
8-Bit 1-Up Mushroom,,,,,Piranha Plant Slide R
8-Bit 1-Up Mushroom,,,,,Piranha Plant Slide R/T
8-Bit 1-Up Mushroom,,,,,Riverside Park
8-Bit 1-Up Mushroom,,,,,Riverside Park R
8-Bit 1-Up Mushroom,,,,,RMX Donut Plains 1T
8-Bit 1-Up Mushroom,,,,,RMX Rainbow Road 1R
8-Bit 1-Up Mushroom,,,,,RMX Rainbow Road 2R/T
8-Bit 1-Up Mushroom,,,,,Rome Avanti 2R/T
8-Bit 1-Up Mushroom,,,,,Shroom Ridge R/T
8-Bit 1-Up Mushroom,,,,,Shroom Ridge T
8-Bit 1-Up Mushroom,,,,,Singapore Speedway 2T
8-Bit 1-Up Mushroom,,,,,Singapore Speedway 3R
8-Bit 1-Up Mushroom,,,,,Singapore Speedway 3T
8-Bit 1-Up Mushroom,,,,,Sky Garden
8-Bit 1-Up Mushroom,,,,,Squeaky Clean Sprint R
8-Bit 1-Up Mushroom,,,,,Sydney Sprint 3T
8-Bit 1-Up Mushroom,,,,,Tokyo Blur 3T
8-Bit 1-Up Mushroom,,,,,Vanilla Lake 1T
8-Bit Block Glider,,,,DS Mario Circuit T,
8-Bit Block Glider,,,Donut Plains 3R/T,,
8-Bit Block Glider,,,Mario Circuit 1R/T,,
8-Bit Block Glider,,Mario Circuit 1R,,,
8-Bit Block Glider,,RMX Mario Circuit 1R/T,,,
8-Bit Block Glider,Athens Dash 2,,,,
8-Bit Block Glider,Athens Dash R/T,,,,
8-Bit Block Glider,Bangkok Rush 3R/T,,,,
8-Bit Block Glider,Berlin Byways 3R/T,,,,
8-Bit Block Glider,Berlin Byways T,,,,
8-Bit Block Glider,Bowser Castle 3R,,,,
8-Bit Block Glider,Bowser's Castle 3R,,,,
8-Bit Block Glider,Bowser's Castle R,,,,
8-Bit Block Glider,Choco Island 1R,,,,
8-Bit Block Glider,Coconut Mall R,,,,
8-Bit Block Glider,Daisy Circuit R/T,,,,
8-Bit Block Glider,Daisy Hills,,,,
8-Bit Block Glider,DK Mountain T,,,,
8-Bit Block Glider,DK Pass R/T,,,,
8-Bit Block Glider,DK Summit R,,,,
8-Bit Block Glider,Donut Plains 1R/T,,,,
8-Bit Block Glider,Donut Plains 2R/T,,,,
8-Bit Block Glider,Donut Plains 3T,,,,
8-Bit Block Glider,Dry Dry Ruins,,,,
8-Bit Block Glider,Dry Dry Ruins R,,,,
8-Bit Block Glider,Koopa Troopa Beach 2T,,,,
8-Bit Block Glider,Lakeside Park,,,,
8-Bit Block Glider,London Loop R/T,,,,
8-Bit Block Glider,Luigi Raceway R/T,,,,
8-Bit Block Glider,Madrid Drive T,,,,
8-Bit Block Glider,Mario Circuit 1,,,,
8-Bit Block Glider,Mario Raceway R/T,,,,
8-Bit Block Glider,Merry Mountain R/T,,,,
8-Bit Block Glider,Mushroom Bridge,,,,
8-Bit Block Glider,New York Minute 2,,,,
8-Bit Block Glider,New York Minute R,,,,
8-Bit Block Glider,Peach Gardens T,,,,
8-Bit Block Glider,Piranha Plant Cove,,,,
8-Bit Block Glider,Piranha Plant Cove 2,,,,
8-Bit Block Glider,Piranha Plant Cove 3,,,,
8-Bit Block Glider,Piranha Plant Cove 3R,,,,
8-Bit Block Glider,RMX Bowser's Castle 1R/T,,,,
8-Bit Block Glider,RMX Mario Circuit 1T,,,,
8-Bit Block Glider,RMX Rainbow Road 2R,,,,
8-Bit Block Glider,RMX Rainbow Road 2T,,,,
8-Bit Block Glider,RMX Vanilla Lake 2R/T,,,,
8-Bit Block Glider,Rock Rock Mountain,,,,
8-Bit Block Glider,Rome Avanti 2T,,,,
8-Bit Block Glider,Rome Avanti 3,,,,
8-Bit Block Glider,Rome Avanti T,,,,
8-Bit Block Glider,Squeaky Clean Sprint,,,,
8-Bit Block Glider,Sydney Sprint 3R,,,,
8-Bit Block Glider,Toad Circuit R/T,,,,
8-Bit Block Glider,Tokyo Blur 3R,,,,
8-Bit Block Glider,Tokyo Blur 4,,,,
8-Bit Block Glider,Tokyo Blur 4T,,,,
8-Bit Block Glider,Wario Shipyard,,,,
8-Bit Block Glider,Yoshi Desert R/T,,,,
8-Bit Block Glider,,,,,Athens Dash 2R
8-Bit Block Glider,,,,,Baby Park T
8-Bit Block Glider,,,,,Berlin Byways 3
8-Bit Block Glider,,,,,Berlin Byways R/T
8-Bit Block Glider,,,,,Bowser Castle 3
8-Bit Block Glider,,,,,Bowser's Castle
8-Bit Block Glider,,,,,Bowser's Castle 2
8-Bit Block Glider,,,,,Bowser's Castle 2R
8-Bit Block Glider,,,,,Cheep Cheep Lagoon T
8-Bit Block Glider,,,,,Choco Island 1R/T
8-Bit Block Glider,,,,,Choco Mountain T
8-Bit Block Glider,,,,,Coconut Mall R/T
8-Bit Block Glider,,,,,Daisy Hills T
8-Bit Block Glider,,,,,DK Mountain R
8-Bit Block Glider,,,,,DK Pass T
8-Bit Block Glider,,,,,DK Summit T
