item,owned
Baby Mario,True
Baby Peach,True
Baby Daisy,True
Baby Rosalina,True
Baby Luigi,True
Koopa Troopa,True
Shy Guy,True
Dry Bones,True
Iggy,True
Larry,True
Lemmy,True
Ludwig,True
Morton,True
Roy,True
Wendy,True
Mario,True
Peach,True
Yoshi,True
Daisy,True
Toad,True
Toadette,True
Rosalina,True
Luigi,True
Toad (Pit Crew),True
Red Yoshi,True
Blue Yoshi,False
Pink Yoshi,False
Yellow Toad (Pit Crew),True
Light-blue Toad (Pit Crew),True
Red Toad (Pit Crew),False
Orange Yoshi,False
Green Toad (Pit Crew),False
Pink Toad (Pit Crew),False
Light-blue Yoshi,False
Yellow Yoshi,True
Purple Toad (Pit Crew),True
Bowser,True
Donkey Kong,True
Diddy Kong,True
Lakitu,True
Bowser Jr.,True
Wario,True
Waluigi,True
King Boo,True
Black Shy Guy,True
Red Koopa (Freerunning),True
Birdo,True
Pink Shy Guy,True
Birdo (Light Blue),True
Hammer Bro,True
Boomerang Bro,True
Ice Bro,True
Fire Bro,True
Birdo (Yellow),True
Monty Mole,True
Green Shy Guy,False
Blue Koopa (Freerunning),False
Birdo (Blue),False
Purple Koopa (Freerunning),False
Light-blue Shy Guy,False
Blue Shy Guy,False
Birdo (Orange),False
White Shy Guy,False
Koopa (Freerunning),False
Orange Shy Guy,False
Birdo (Red),True
Yellow Shy Guy,False
Birdo (Green),True
Metal Mario,True
Peachette,True
Pauline,True
Mario (Musician),False
Peach (Kimono),False
Mario (Hakama),False
Rosalina (Halloween),False
Peach (Vacation),False
Mario (Santa),False
Pink Gold Peach,True
Daisy (Holiday Cheer),False
Yoshi (Reindeer),False
Pauline (Party Time),False
Mario (Happi),False
Toad (Party Time),True
Peach (Wintertime),True
Penguin Luigi,False
Ice Mario,True
Baby Peach (Cherub),False
Rosalina (Aurora),False
Mario (Classic),True
Luigi (Classic),True
Baby Rosalina (Detective),False
Yoshi (Egg Hunt),False
Black Yoshi,True
Builder Mario,False
Builder Toad,False
Daisy (Fairy),False
Mario (Chef),False
Peach (Wedding),False
Rosalina (Swimwear),False
Mario (Swimwear),False
Captain Toad,False
Toadette (Explorer),True
Daisy (Yukata),False
Mario (SNES),False
Mario (Sunshine),False
Mario (Halloween),False
Peach (Halloween),False
Peach (Explorer),False
Builder Luigi,False
Fire Rosalina,False
Luigi (Lederhosen),False
Cat Peach,False
Cat Toad,False
Pauline (Rose),True
Penguin Toad,False
Mario (Racing),False
White Yoshi,False
Baby Mario (Koala),False
Builder Toadette,False
Mario (Tuxedo),False
Luigi (Painter),False
Daisy (Swimwear),False
Mario (Baseball),False
Peach (Happi),False
Penguin Mario,False
Yoshi (Kangaroo),False
Tanooki Mario,False
Tanooki Rosalina,True
Mario (Satellaview),False
Penguin Toadette,False
Cat Rosalina,False
Luigi (Vacation),False
Mario (Golf),False
Luigi (Golf),True
Mario (Aviator),True
Mario (Samurai),False
Peach (Yukata),False
Yoshi (Gold Egg),False
Rosalina (Volendam),False
Daisy (Farmer),True
Dr. Mario,False
Dr. Luigi,False
Dr. Peach,False
Cat Mario,True
Cat Luigi,False
Rosalina (Chef),False
Daisy (Thai Dress),False
Daisy (Sailor),False
Toadette (Sailor),False
White Tanooki Mario,False
Luigi (Knight),False
Mario (King),False
Luigi (Chef),False
Kitsune Luigi,False
Toad (Astronaut),False
Toadette (Astronaut),False
Poochy,False
Toad (Tourist),False
Luigi (Gold Knight),False
Pauline (Cowgirl),False
Mario (Black Suit),False
Gold Mario,True
